CardName  M-Castle  M-Wall      M- monster    M-brick   M- jewel    O-castle    O-Wall	O-Monster    O-brick  O-jewel  IS-playagain  IS-Special     attack     SpecialNumber     function
生死抗争		0	0	0	-8	0	0	0	0		-8	0	0	0	0	0	（砖头0）双方同时失去八块砖头
幸运宝藏		0	0	0	2	2	0	0	0		0	0	1	0	0	0	（砖头0）砖头+2，宝石+2，再次出牌
友谊之地		0	1	0	-1	0	0	0	0		0	0	1	0	0	0	（砖头1）城墙加1，再次出牌
伟大矿工		0	0	0	-3	0	0	0	0		0	0	0	1	0	1	（砖头3）砖头产量+1
矿石之脉        	0	0	0	-4	0	0	0	0		0	0	0	1	0       2	（砖头4）如果砖头产量小于对手，则砖头产量+2，否则+1
矮人之矿		0	4	0	-7	0	0	0	0		0	0	0	1	0	3	（砖头7）城墙+4，砖头产量+1
努力工作		0	5	0	-2	-6	0	0	0		0	0	0	0	0       0	（砖头2）城墙+5，宝石-6
幻影之手		0	0	0	-5	0	0	0	0		0	0	0	1	0       4	（砖头5）如果砖头产量小于对手，则砖头产量等于对手
基础之墙		0	3	0	-2	0	0	0	0		0	0	0	0	0       0	（砖头2）城墙+3
稳固之墙		0	4	0	-3	0	0	0	0		0	0	0	0	0       0	（砖头3）城墙+4
发明创造		0	0	0	-2	4	0	0	0		0	0	0	1	0       5	（砖头2）双方砖头产量同时+1，你还得到4个宝石
稳固基础		0	0	0	-3	0	0	0	0		0	0	0	1	0       6	（砖头3）如果没有城墙，城墙+6，否则城墙+3
颤动之地		0	-5	0	-7	0	0	-5	0		0	0	1	0	0       7	（砖头7）双方城墙同时-5并再次出牌
神秘小屋		0	0	0	-8	0	0	0	0		0	0	1	1	0       8	（砖头8）宝石产量+1，再次出牌
山崩地裂		0	0	0	0	0	0	0	0		0	0	0	1	0       9	（砖头0）双方砖头产量同时-1
雄伟之墙		0	6	0	-5	0	0	0	0		0	0	0	0	0       0	（砖头5）城墙+6
粉碎之锤         0	0	0	-4	0	0	0	0		0	0	0	1	0       10	（砖头4）对手砖头产量-1
完美工具		0	0	0	-6	0	0	0	0		0	0	0	1	0       11	（砖头6）砖头产量+2
矮人之锤		0	10	0	0	5	0	0	0		0	0	0	1	0       12	（砖头0）砖头产量-1，城墙+10，宝石+5
神奇之石		0	8	0	-8	0	0	0	0		0	0	0	0	0       0	（砖头8）城墙+8
神秘之力		0	5	0	-9	0	0	0	0		0	0	0	1	0       13	（砖头9）城墙+5，怪物产量+1
奇幻宝石		0	7	0	-9	7	0	0	0		0	0	0	0	0       0	（砖头9）城墙+7，宝石+7
幻想乐曲		3	6	0	-11	0	0	0	0		0	0	0	0	0       0	（砖头11）城墙+6，城堡+3
牢不可破		0	12	0	-13	0	0	0	0		0	0	0	0	0       0	（砖头13）城墙+12
完美设计		5	8	0	-15	0	0	0	0		0	0	0	0	0       0	（砖头15）城墙+8，城堡+5
魔幻之墙		0	15	0	-16	0	0	0	0		0	0	0	0	0       0	（砖头16）城墙+15
巨石轰击		0	6	0	-18	0	0	-10	0		0	0	0	0	0       0	（砖头18）城墙+6，对手城墙-10
神龙之心		8	20	0	-24	0	0	0	0		0	0	0	0	0       0	（砖头24）城墙+20，城堡+8
死命工作		0	9	-5	-7	0	0	0	0		0	0	0	0	0       0	（砖头7）城墙+9，怪物-5
蓝色宝石		0	1	0	0	-1	0	0	0		0	0	1	0	0       0	（宝石1）城墙+1，再次出牌
奇幻之烟		0	0	0	0	-2	-1	0	0		0	0	1	0	0       0	（宝石2）对手城堡-1，并再次出牌	
迷幻之手		3	0	0	0	-2	0	0	0		0	0	0	0	0       0	（宝石2）城堡+3
魔法高手		0	0	0	0	-3	0	0	0		0	0	0	1	0       14	（宝石3）宝石产量+1
三棱魔境		0	0	0	0	-2	0	0	0		0	0	1	1	0       15	（宝石2）换一张牌后再次出牌
怪石缠身		3	0	0	0	-5	0	0	0		0	0	0	1	0       16	（宝石5）这张牌不能换，只能使用
阳光普照		2	0	0	0	-4	-2	0	0		0	0	0	0	0       0	（宝石4）城堡+2，对手城堡-2
钻石魔阵		3	0	0	0	-6	1	0	0		0	0	0	1	0       17	（宝石6）宝石产量+1，城堡+3，对手城堡+1
宝石裂痕		0	0	0	0	-2	-3	0	0		0	0	0	0	0       0	（宝石2）对手城堡-3
深红宝石		5	0	0	0	-3	0	0	0		0	0	0	0	0       0	（宝石3）城堡+5
水晶之矛		0	0	0	0	-4	-5	0	0		0	0	0	0	0       0	（宝石4）对手城堡-5
焚心似火		-5	0 	0	0	-3	0	0	0		0	0	0	1	0       18	（宝石3）城堡-5，宝石产量+2
忠诚代价		3	3	0	0	-7	0	0	0		0	0	0	1	0       19	（宝石7）宝石产量+1，城堡+3，城墙+3
公平竞争		0	0	0	0	-7	0	0	0		0	0	0	1	0       20	（宝石7）双方宝石产量都等于产量较高的一方
神奇翡翠		8	0	0	0	-6	0	0	0		0	0	0	0	0       0	（宝石6）城堡+8
智慧珍珠		5	0	0	0	-9	0	0	0		0	0	0	1	0       21	（宝石9）宝石产量+1，城堡+5
赌命狂徒		0	0	0	0	-8	-9	0	0		0	0	0	1	0       22	（宝石8）宝石产量-1，对手城堡-9
崩溃之石		5	0	0	0	-7	0	0	0		-6	0	0	0	0       0	（宝石7）城堡+5，对手砖头-6
蓝色水晶		11	0	0	0	-10	0	0	0		0	0	0	0	0       0	（宝石10）城堡+11
生死相斗		-7	0	0	0	-5	-7	0	0		0	0	0	1	0       23	（宝石5）双方宝石产量同时-1，城堡同时-7
幻火之石		6	0	0	0	-13	-4	0	0		0	0	0	0	0       0	（宝石13）城堡+6，对手城堡-4
巨人奴仆		7	0	0	-10	-4	0	0	0		0	0	0	0	0       0	（宝石4）城堡+7，砖头-10
水晶护身		8	3	0	0	-12	0	0	0		0	0	0	0	0       0	（宝石12）城堡+8，城墙+3
心领神会		8	0	0	0	-14	0	0	0		0	0	0	1	0       24	（宝石14）城堡+8，怪物产量+1
钻石永恒		15	0	0	0	-16	0	0	0		0	0	0	0	0       0	（宝石16）城堡+15
神圣领地		10	5	5	0	-15	0	0	0		0	0	0	0	0       0	（宝石15）城堡+10，城墙+5，怪物+5
岩浆飞溅		12	0	0	0	-17	-8	0	0		0	0	0	0	0       0	（宝石17）城堡+12，对手城堡-8
神龙之眼		20	0	0	0	-21	0	0	0		0	0	0	0	0       0	（宝石21）城堡+20
魔幻宝石		11	-6	0	0	-8	0	0	0		0	0	0	0	0       0	（宝石17）城堡+11，城墙-6
凶恶蛮牛	        0	0       -6      0	0	0	0	-6              0       0       0       0       0       0       （怪物0）双方怪物同时-6
幻境仙女	        0       0       -1      0       0       0       0       0               0       0       1       0       2       0       （怪物1）2点攻击，再次出牌
